Cake,Alfajores,Coffee,Bread
Coffee,Bread
Cake,Coffee
Jam
Tartine,Juice,Coffee,Pick and Mix Bowls,Mineral water
Juice,Tea,Bread
Coffee,Cookies
Coffee,Bread
Toast,Coffee
Baguette,Spanish Brunch
Cake,Juice,Coffee
Coffee,Brownie
Cake,Tea,Bread
Eggs,Bread
Tea,Cookies,Juice
Cake,Coffee,Bread
Cake,Coffee
Truffles,Tiffin,Coffee
Spanish Brunch,NONE,Hot chocolate,Bakewell,Coffee,Bread
Alfajores,Tea,Toast
Jam,Fudge
Cake,Tea,Hot chocolate,Medialuna
Salad
Bread
Cake,Baguette,Cookies
Cake,Tea,Chicken Stew,Bread
Toast,Hot chocolate,Bakewell,Chicken Stew
Tea,Coffee,Pastry
Tea
Bread
Toast,Coffee
Toast,Coffee
Bread
Soup,Coffee
Coffee,Bread
Coffee
Coffee
Toast,Coffee
Toast,Spanish Brunch,NONE,Tea,Brownie,Jammie Dodgers,Cake,Bread
Pastry,Brownie,Bread
Coffee
Coffee,Medialuna,Eggs,Bread
Pastry,Bread
Jam
Sandwich
Juice,Eggs,NONE,Jammie Dodgers,Coffee
Bread
Pastry,Bread
Coffee,Pastry
Coffee,Pastry
Pastry
Eggs,Bread
Scandinavian
Cookies
Coffee,Medialuna
Coffee,Bread
Coffee,NONE,Pastry,Bread
Medialuna
Coffee,Pastry
Bread
Coffee
Coffee,Medialuna
Tea,Tiffin
Tea,Cookies
Alfajores,Bread
Cake,Muffin,Mineral water,Bread
Toast,Coffee,Tiffin,NONE,Medialuna,Cookies
Tea,NONE,Coffee
Coffee
Pastry,Bread
Cake,Juice,Brownie,Bread
Farm House
Coffee,Hot chocolate
Tea,Coffee,Pastry
Mineral water,Sandwich
Cake,Tea,Muffin
Tea,NONE,Bread
Jam
Muffin,Tea,Bread
Medialuna
Cake,Juice,Tea
Tartine,Coffee,Jam,Fudge,NONE
Coffee,NONE
Alfajores,Coffee,Scone
Coffee
Tea,Scone
Coffee
Fudge,Bread
Farm House,Medialuna,Bread
Muffin,Scone
Tea,NONE
Cake,Coffee,Bread
Coffee,NONE
Cake,Coffee
Toast,Coffee
Cake,Coffee
Cake,Hot chocolate
Coffee
Cake,Coffee,Medialuna
Hearty & Seasonal,Juice
Cake,Hot chocolate
Tea,Tiffin,Scone
Cake,Coffee,Scone
Coffee
Alfajores,Coffee,Bread,Tiffin,Brownie
Bread
NONE,Alfajores,Tea,Coffee,Scandinavian,Keeping It Local
Muffin,Bowl Nic Pitt,Coffee,Frittata
Bread
Alfajores,Muffin,Hot chocolate,Coffee
Soup,Coffee,Tea,Brownie,Frittata
Hearty & Seasonal,Tea,Juice
Alfajores,Soup,Coffee,Sandwich
Muffin,NONE,Coffee,Brownie
Truffles
Tea,Coffee,Sandwich,Coke,Spanish Brunch
Baguette
Cookies,Hot chocolate,Coffee
Bread
Tea,Spanish Brunch,NONE
Spanish Brunch,Bread
Juice,Tiffin,Coffee,Half slice Monster 
Cookies,Coffee,Medialuna,Smoothies,Scone
Bread
Cake,Soup,Coffee
Cake,Coffee
Coffee,Sandwich,Spanish Brunch,Farm House,Bread
Muffin,Coffee
Bread
Coffee
Farm House,Coffee
Bread
Mineral water,Sandwich
Soup,Coffee,Sandwich
Christmas common
Cake,Bread
Coffee,Pastry
NONE,Sandwich,Hot chocolate,Bread
Coffee,Pastry,Bread
Coffee
Coffee
Bread
Toast,Coffee,Scone
Coffee,Pastry,NONE
Scandinavian
Coffee
Pastry,Scone
Toast,Coffee,Granola,Pastry,Bread
Juice,Brownie,Jammie Dodgers,Bread
Tea,Coffee
Coffee,Pastry
Coffee,Farm House,Bread
Coffee,Medialuna,Pastry,Bread
Farm House,Bread
Coffee
Coffee,Bread
Bread
Pastry,Bread
Cake
Cake,Coffee,Sandwich
Tea,Bread
Bread
NONE,Bread
Toast,Coffee,Chicken Stew
Soup
Cake,NONE
Bread
Toast,Coffee
Toast,Coffee
Coffee,Sandwich
Hot chocolate,Muffin,NONE,Tea,Medialuna,Jammie Dodgers
Tea,Coffee,Medialuna
Keeping It Local,Coffee
Coffee
Hot chocolate,Medialuna,Bread
Coffee,Medialuna
Keeping It Local,Coffee
NONE,Coffee
Coffee,Pastry
Juice,Coffee,NONE
Bread
Bread
Coffee
Scandinavian,Bread
Toast,Bread
Coffee,Sandwich,Bread
Salad
Bread
Cookies,Coffee,Hot chocolate,Scone
Pastry
Coffee,Medialuna
Coffee
Soup,Coke
Bread
Tea,Coffee,Cookies,Muffin
Muffin
Tea,Sandwich,Muffin
Hearty & Seasonal,Coffee,Mighty Protein,Coke
Coffee,Bread
Muffin,Coffee
Hot chocolate,Cookies,Bread
Muffin,Coffee
Alfajores,Coffee,Bread
Truffles,Chicken Stew
Pastry
Bread
Baguette
Bread
Farm House
Cake,Coffee
Cake,Coffee,Hot chocolate
Cake,Juice,Eggs,Chicken Stew,Bread
Soup,Coffee
Chocolates,Chicken Stew
Tea
Coffee,Pastry
Tea,Spanish Brunch
Soup
Coffee
Bread
Farm House
Cookies,Coffee
Coffee,Bread
Cookies,Bread
NONE,Bread
Bread
Cake,Coffee,Bread
Tea,Coffee,Sandwich,Muffin
Tea,NONE,The Nomad
Alfajores,Coffee,Scone
Alfajores,Baguette,Coffee,Pastry
Bread
Coffee,Hot chocolate
Cake,Coffee,Sandwich,Hot chocolate,NONE
Coffee,Bread
Bread
Juice
NONE,Coffee
Bread
Hot chocolate,Cookies,Bread
Juice,NONE,Sandwich,Coffee,Bread
Farm House,Cookies
Tea,Mineral water,Sandwich,Bread
Coffee
Tea,Coffee,Bread
Coffee,Pastry
Bread
Coffee,Sandwich
Soup,Mineral water,Chicken Stew
Coffee,NONE
Coffee,Bread
Coffee,Bread
Toast,Coffee,NONE
Baguette
Bread
Smoothies
Baguette
Bread
Bread
Juice,Coffee,Brownie
Toast,Truffles
Tea,Spanish Brunch,Coffee
Cake,Soup,Coffee,Coke,Bread
Cake,Coffee,Smoothies,Bread
Coffee,Pastry
Coffee,Bread
Bread
Bread
Coffee
Cookies,Scandinavian
Empanadas,Coffee,Medialuna,Bread
Coffee,Pastry
Bread
Tea,Pastry
Cake,Tiffin
Scandinavian
Hearty & Seasonal,Coffee,Sandwich,Mineral water
Focaccia,Bread
Truffles,Coffee,Coke,Chicken Stew,Pastry,Art Tray,Bread
Coffee
Coffee
Soup,Kids biscuit
Coffee
Bread
Coffee
Pastry,Bread
Scandinavian,Bread
Art Tray,Coffee,Chicken Stew
Cake,Muffin,Jam
Coffee
Cake
Bread
NONE,Bread
Scandinavian
Coffee,NONE
Toast,Coffee
Tea
Coffee,Pastry
Toast,Coffee,Pastry
Medialuna,Bread
NONE,Bread
Tea
Bread
Scandinavian
Tea,NONE,Coffee
Jammie Dodgers,Cookies,Pastry
Hot chocolate,Drinking chocolate spoons ,Muffin,NONE,Pastry,Bread
Muffin,NONE,Coffee
Muffin,Baguette,Cake,Scandinavian
Scandinavian,Bread
Pastry,Bread
Baguette,Farm House
Jammie Dodgers,Tea
Farm House,Cookies
Pastry
Tea,Bread
Coffee
Juice,Coffee,Sandwich,Ella's Kitchen Pouches
Cake,Coffee
NONE,Coffee
Farm House
Farm House,Brownie
Coffee,Bread
Brownie
Muffin,Juice,Bread
Coffee
Coffee,Bread
Juice,Coffee
Cake,Coffee,Spanish Brunch
Coffee
Baguette,Coffee,Brownie
Cake,Coffee,Pastry
Hot chocolate,Coffee
Farm House
Toast,Tea
Christmas common,Hot chocolate,Jam,Bread
Tea,Bread
Tea,Coffee,NONE,Pastry
Coffee
Cake,Juice,Cookies,Eggs,Bread
Soup,Bread
Scandinavian
Cake,Tea,Coffee,Medialuna,Scandinavian
Scandinavian,Bread
Bread
Brownie
Coffee,Scone
Toast,Coffee
Coffee,Medialuna
Cake,Tea,Coffee,Smoothies
Bread
Coffee
Coffee
Bread
Medialuna
NONE,Bread,Coffee,Nomad bag,Scone
Cake,Bread,Scandinavian
Bread
Coffee,Pastry,NONE
Bread
Cake,Coffee
Tea,Cookies,Pastry,Bread
Muffin
Coffee
Scandinavian
Fudge
Coffee,Sandwich
Alfajores
Cake
Tea,Bread
Tea,Coffee,Soup,Bread
Cake,Tiffin,Coffee,Hot chocolate,Bread
Scandinavian
Cake,Farm House
Mineral water,Bread
Coffee,Bread
Tea,NONE,Sandwich,Coffee
Coffee,Scone
Coffee,Sandwich
NONE
Coffee,Sandwich
Cake,Coffee,Scone
Cake
Cookies,Bread
Tea,Coffee
Cake,Smoothies,Sandwich,NONE,Bread
Brownie,Scone
Cake,Jammie Dodgers
Scandinavian
Scandinavian
Hot chocolate
Coffee
NONE
Sandwich
Bread
Honey,Pastry,Bread
Coffee
Adjustment
Bread
Pastry
Farm House
Baguette,Scandinavian,Bread
Soup,Focaccia,Tea
Soup,Coffee,Bread
Bread
Coffee
Scandinavian
Tea,Coffee,Sandwich
Coffee
Coffee,Cookies,My-5 Fruit Shoot
Spanish Brunch,Chicken Stew
Farm House,Bread
Cake,Tea
Tea,Medialuna
Tea,Coffee,Cookies
Muffin,Coffee
Bread
Hot chocolate,Pastry
Bread
Bread
Coffee,Hot chocolate,Pastry
Coffee,Jam
Coffee,Medialuna
Bread
Alfajores
Tea,Coffee,Muffin
Muffin,Coffee,Sandwich,Soup
Coffee,Medialuna
Bread
Tea,Coffee,Pastry
Tea,Coffee
Sandwich,Bread
Coffee
Coffee
Cake
Tea,Bread
Cake,Hot chocolate,Coffee
NONE,Medialuna,Hot chocolate,Coffee
Alfajores,Scandinavian
Muffin,NONE,Coffee
Medialuna
Bread
Coffee
Alfajores,Scandinavian,Bread
Coffee
Tartine,Coffee,NONE
Muffin,Tea,Coffee,Brownie,Truffles
Coffee,Scandinavian
Coffee
Tea,Coffee,Scone
Bread
Baguette,Scandinavian
Bread
Scandinavian
Medialuna,Pastry,Bread
Bread
NONE,Bread
Toast,Coffee,Coke,NONE
Cake,Muffin
Bread
Alfajores,Tea,Medialuna,Bread
Tea,Medialuna,Sandwich,Coffee
Cake,Bread
Coffee,Cookies
Cookies,Sandwich,Tea,Coffee,Soup,Cake
Cake,Coffee
Coffee,Pastry
Hot chocolate,Sandwich,Chocolates,Bread
Coffee,Cookies
Coffee,Sandwich,Spanish Brunch
Scandinavian,Bread
Cake,Pastry
Coffee
Jammie Dodgers,Coffee
Tea,Bread
Bread
Bread
Coffee
Bread,Coffee,Sandwich,Scone
Mineral water,Brownie
Farm House
Alfajores,Coffee,Tiffin
Art Tray,Coffee,Sandwich,Frittata
Coffee,Sandwich,NONE,Alfajores,Tea,Hot chocolate
Juice,Scone,Bread
Tea,Cookies,Soup
Cake,Juice,Soup,Muffin
Tiffin,Hot chocolate
Duck egg,Tea,Spanish Brunch,Bread
Scandinavian
NONE,Jam
Coffee,Jam,Pastry
Tea,Polenta
Coffee,Sandwich
Coffee
Farm House,Medialuna,Pastry
NONE
Alfajores,Tea,Coffee
Coke
Jammie Dodgers,Coffee,Cookies
Hearty & Seasonal,Truffles,Mineral water,Scone,Bread
Coffee,Bread
Toast,Bread
Bread,Scone
Truffles,Coffee
Jammie Dodgers,Coffee
Cake,Tea,Coffee,Jammie Dodgers
Alfajores,Tea,Coffee,Medialuna
Bread
Coffee,Sandwich
Cookies,NONE
Valentine's card
Bare Popcorn
Coffee,Sandwich,Chicken Stew,Bread
Cake,Tea,Mineral water,Soup
Sandwich,Bread
Soup,Coffee,Farm House,Bread
Spanish Brunch,Bare Popcorn,Salad,Coffee,Extra Salami or Feta,Juice,Farm House
Cake
Jam,Scandinavian
Medialuna
Coffee,Pastry
Coffee,Pastry
NONE,Bread
Coffee,Medialuna,Bread
Bread
Bread
Cake,Smoothies,Coffee,Bread
Coffee
Alfajores,Coffee,Bread
Coffee
Cake,Coffee
Cake
Hot chocolate,Medialuna
Tea
Coffee,Cookies
Tea,Cookies
Cake
Toast
Tea,Bread
Coffee,Bread
Tea,Coffee
Cake,Muffin,Hot chocolate,Bread,Jammie Dodgers
Coffee,Sandwich
Jammie Dodgers,Bread
Pastry
Drinking chocolate spoons ,Coffee,Sandwich,Brownie,Bread
Muffin,Tea,Salad,Juice
Tea,Spanish Brunch
Cake,Tea
Coffee
Coffee granules 
Coffee,Scone
Toast,Spanish Brunch,Sandwich,Chicken Stew,Medialuna,Cake
Bread
Coffee
NONE,Pastry
Bread
Bread,Scone
NONE,Coffee,Extra Salami or Feta,Bread
Valentine's card
Hot chocolate,Bread
Coffee,Brownie
Scandinavian
Farm House
Toast,Juice,Coffee,Cookies
Tea,Coffee,Brownie,Farm House
Coffee
Toast,Coffee
Muffin,Coffee,Baguette,Bread
Coffee,Pastry
The BART,Bread
Cake,Coffee,Cookies,Bread
Tea,Bread
Bread
Cookies,Bread
Coffee
Coffee
Sandwich
Hearty & Seasonal,Coffee,Bread
Cake,Bread
Muffin
Tea,Coffee,Sandwich
Coffee
Juice,Coffee,Pastry
NONE,Coffee
Tea,Sandwich
Tea,Coffee,Sandwich,Brownie,Bread
Soup,Coffee,Sandwich
Coffee,Bread
NONE,Coffee
Coffee,Pastry
Pastry,Bread
Coffee
Coffee,Medialuna,Bread
Coffee
Kids biscuit,Bread
Coffee
Tea,Coffee,Mineral water
Bread
Vegan mincepie,Coffee
Alfajores,Tea,Coffee,Bread
Farm House
Jammie Dodgers,Scandinavian,Bread
Coffee,Bread
Alfajores,Coffee,Bread
Bread
Pastry,Bread
Coffee
Bread
Coffee
Coffee,NONE
Coffee,Pastry,Scone
Toast,Coffee
Tea,Spanish Brunch,Jam,Fudge
Alfajores
Cookies,Coffee,NONE
Coffee,NONE
Vegan mincepie,Coffee,Bread
Mineral water
Coffee,Medialuna
Tea,Sandwich
NONE,Hot chocolate,Mineral water,Bread
Cake,Scandinavian,Scone
Toast,Coffee,Frittata
Coffee,Pastry
Truffles,Coffee,Spanish Brunch
Coffee,Brownie
Bread
Coffee,Sandwich
Coffee
Pastry,Bread
Tea,Coffee
Coffee
Soup
Coffee
Soup
Bread
Juice,Jammie Dodgers,Coffee,Muffin
Bread
Alfajores,Juice,Coffee,Medialuna,Cookies
Cake,Soup,Chicken Stew,Bread
Scandinavian
Coffee,Medialuna
Farm House
Coffee
Cake,Hot chocolate
Coffee
Cake,Coffee
Coffee,Bread
Farm House
Cake
Pastry
Bread
Cake,Hot chocolate,Coffee
Coffee
Bread
Bread
Cake,Chicken Stew,Bread
Cake,Coffee,Hot chocolate,Bread
Valentine's card
Coffee,Brownie
Bread
Cake,Coffee,Nomad bag,Bread
Alfajores,Brownie
Spanish Brunch,Alfajores,Tea,The Nomad,Juice,Cake,Art Tray,Hot chocolate
Bread
Bread
Bread
Hot chocolate,Coffee,Bread
Cake,Tea
Cake,Tea
Cake,Coffee
Pastry,Bread
Coffee,Pastry
Pastry,Bread
Cookies,Sandwich,NONE,Bare Popcorn,Crisps,Coffee,Hot chocolate
Cake,Coffee,Hot chocolate
Coffee
Bread
Coffee,Bread
Coffee,Bread
Bread
Sandwich
Hot chocolate
Coffee
Alfajores,Tea,Coffee,Brownie,Bread
Tea,Coffee,Bread,Scone
Cake
Cake,Bread
Cake,Muffin,Tea,Scone
Baguette
Bread
Pastry,Bread
Tea,Medialuna
Hot chocolate,Tiffin,Coffee
Hot chocolate,Coffee,Scone
Tea,Sandwich
Tartine,Coffee
Cookies,Bread
Tea,Bread
Coffee,Pastry
Tartine,Coffee,Cookies
Bread
Scandinavian
Soup,Coffee
Sandwich
Tartine
Bread
Coffee,Bread
Tea,Medialuna
Coffee
Coffee
Bread
Hot chocolate,Coffee,Bread
Spanish Brunch,Coffee,Chicken Stew
Cake,Coffee,Cookies
Tea
Coffee
Coffee,Brownie,Pastry,Bread
Coffee,Pastry,Bread
Cake,Coffee,Hot chocolate
Coffee
NONE,The Nomad,Pastry,Bread
Muffin,Coffee
Medialuna
Coffee
Pastry,Scone
Hot chocolate,Fudge
Cake,Juice,Coffee,Sandwich
Bread
Juice,Coffee
Coffee,Bread,Hot chocolate,Scone
Muffin,Coffee,Hot chocolate,Scone
Bread
Medialuna
Cake,Alfajores
Scandinavian
Vegan mincepie,Medialuna,Tea,Juice
Coffee,Scone
Raspberry shortbread sandwich,Tea,Brownie
Tea,Sandwich
Coffee,Cookies
Cookies
Farm House
Bread
Bread
Coffee
Muffin,Coffee
Coffee,Medialuna,Pastry
Bread
Toast,Coffee,Cookies
NONE,Bread
Coffee
Coffee
Juice,NONE,Pastry
Tea
Cookies,Bread
Coffee
Alfajores,Coffee
Bread
Coffee,Brownie,Bread
Brownie
Coffee,Brownie,Bread
Hearty & Seasonal,Coffee,Pastry,Bread
Tea
Coffee,Medialuna
Bread
Juice,Coke,Soup
Medialuna
Medialuna
Tea,NONE
Juice,Cookies,Coffee
Alfajores,Tea,Medialuna,Jam,Bread
Coffee,Brownie
Coffee,Pastry
Coffee
Scandinavian
Coffee,Cookies
Farm House,Bread
Coffee
Fudge
Coffee
Muffin,Coffee
Coffee
Tea
Bread
Tea,Coffee,Sandwich
Brownie
Bread
Keeping It Local,Coffee
Tea
Cake,Soup,Coffee,Sandwich
Hot chocolate,Brownie,Cookies,Coffee,Vegan Feast,Bread
Coffee,Medialuna
Sandwich,Bread
Coffee
Medialuna
Jam,Bread
NONE
Medialuna,Bread
Coffee
Coffee
Muffin,Coffee
Soup
Bread
Medialuna,Bread
Cake,Muffin
Soup,Coffee
Soup,Coffee
Juice,Sandwich,Bread
Tea
Coffee,Cookies
Coffee,Bread
Cake,Tea,Bread
Coke
Coffee
Coffee
Juice,Spanish Brunch,NONE,Chicken Stew
Toast,Tea
Afternoon with the baker
NONE,Coke
Afternoon with the baker
Coffee,NONE
Farm House
Medialuna
Baguette
Coffee,Chicken Stew
Cake,Coffee
Bread
Muffin,Cookies
Tiffin
Coffee,Pastry
Afternoon with the baker
Coffee
Tea,Cookies
Cake,Tea
Coffee
Bread
Hot chocolate,Cookies
Juice,Cookies,Coffee,Bread
Coffee,Medialuna,Cookies
Coffee
Coffee
Bread
Coke,Sandwich
Juice,Coffee,Cookies,Bread
Baguette
Cake,Coffee
Bread
Bread
Toast,Tea,Cake,Bread
Toast,Bread
Coffee,Pastry
NONE,Sandwich,Scone,Alfajores,Tea,Spanish Brunch,Juice
NONE,Sandwich,Juice,Mineral water,Coffee,Soup
Bread
Bread
Coffee
Coffee,Cookies
NONE,Scandinavian,Bread
Bread
Tea,Coffee
Cake,Cookies,Bread
Soup,Tea
Coffee,Pastry
Coffee
NONE,Bread
Scone
Coffee
Cookies,Bread
Hot chocolate
Bread
Cake,Hot chocolate
Tea,Pastry
Coffee
Coffee,Tiffin
Cake,Tea
Coffee,Medialuna
Bread
Coffee,Medialuna
Farm House,Crepes
Bread
Farm House
Coffee,Bread
Truffles,Mineral water,Scone,Spanish Brunch,Bread
Coffee
Tea,Coffee,Truffles
Coffee,Sandwich,Bread
Cookies
Soup
Coffee,Sandwich
Coffee,Scone
Coffee,Sandwich,Bread
Spanish Brunch,Coke,Salad
Tea,Coffee,Tiffin,Chicken Stew,Bread
Cake,Tea,Bread
Bread
Coffee
Cookies,Scandinavian
Pastry
Coffee,Sandwich
Soup,Coke
Coffee,Chicken Stew
Coke,Sandwich
Toast,Coffee,Sandwich,Alfajores,Tea,Cookies,Juice,Hot chocolate
Coffee,Chicken Stew
Cake
Alfajores,Tea,Hot chocolate
Coffee
Coffee
Cookies,Hot chocolate,Smoothies,Bread
Toast,Tea,Coffee,Brownie
Bread
Coffee,Bread
Farm House
Tea,NONE
Tea,NONE
Coffee
Farm House
Scandinavian
Muffin,Medialuna,Pastry
Coffee
Tea,Coffee
Bread
Bread
Toast,Tea,Cookies,Hot chocolate
Cake,Coffee,Hot chocolate
Juice,Coffee,Chicken Stew
Alfajores,Coffee
Bread
Cake,Hot chocolate
Cake,Cookies,Hot chocolate,Coffee
Coffee
Jammie Dodgers,Coffee,Frittata
Tea,Hot chocolate,Vegan mincepie,Bread
Coffee
Bread
Jam
Coffee,Pastry
Vegan mincepie,Tea
Bread
Cake,Juice,Bread,Jammie Dodgers
Bread
Vegan mincepie,Scandinavian
Fudge
Tea,Coffee
Coffee,Pastry
Pastry
Keeping It Local,Coffee
Tea,Sandwich,Bread
Truffles,Fudge,Bread
Bread
Tea,Bread
Kids biscuit,Mineral water,Coffee,Muffin
Coffee,Sandwich
Tea,Coffee,Truffles
Soup,Coffee,Jam
Mineral water,Brownie
Alfajores,Tartine,Coffee
Coffee,Mighty Protein
Coffee,Hot chocolate
Hearty & Seasonal,Coffee
Hearty & Seasonal,Coffee,Mineral water,Bread
Tartine,Coffee,Sandwich,Brownie
Coffee,Brownie
Alfajores,Cake,Coffee,Brownie
Brownie,Bread
Coffee
Cake,Bread
Alfajores,Bread
Tea,NONE
Cake,Coffee
Coffee,Sandwich
Bread
Toast,Coffee,Duck egg,Tea,NONE,Chicken Stew,Brownie,Extra Salami or Feta,Cookies,Bread
Coffee
Coffee
Cookies
Truffles,Chicken Stew
Coffee,Tiffin,Salad
Cake,Hot chocolate,Sandwich,Coffee
Soup,Coffee,Spanish Brunch
Cake,Hot chocolate,Sandwich,Coffee
Tea,Soup
Spanish Brunch,Jam,Salad,Bread
Soup,Coffee,Sandwich
Truffles,Coffee,Sandwich,Salad,Alfajores,Coke,Chicken Stew,Juice,Cake
Toast,Coffee,Smoothies
Toast,Coffee,Smoothies
Coffee,Cookies,Bread
Toast,Coffee,Pastry
Toast,Coffee,Smoothies
Cake,Jammie Dodgers,Coffee,Tea,Bread
Medialuna
Toast,Coffee,Medialuna,Pastry
Farm House
Bread
Cake,Farm House
NONE,Pastry,Bread
Baguette,Bread
Toast,NONE,Coffee
Bread
Coffee,Medialuna,Pastry
Muffin,Hot chocolate,Bread
Coffee,Scone
Coffee,Sandwich,Tea,Coke,Tiffin,Chicken Stew,Soup,Medialuna,Bread
Coffee,Bread
Cake,Tiffin
Baguette,Scandinavian
Scone,Bread
